Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
ATM/30/3,0.15395004735957118,0.43900510434325346,0.5308394157198438,-0.38269593154013615,0.402277721479841,ATM,30,3,68,0,5,0.5988,0.0854
ATM/30/5,-0.04503904717369833,0.4940544122879847,0.1348346445112428,-0.696637770558749,-0.06465203162552337,ATM,30,5,59,0,5,0.5832,0.0854
ATM/30/7,-0.04606858992208862,0.4945344320155729,0.13295307483772914,-0.6985213925940901,-0.06595158059655737,ATM,30,7,59,0,5,0.5913,0.0854
ATM/30/10,-0.26742306768902624,0.5302611125947035,-0.339552222048709,-0.772366024162046,-0.346238777112391,ATM,30,10,45,0,4,0.606,0.0854
ATM/30/14,-1.0,1.6169775281358731,0.05679781977013162,-1.2944691563031558,-0.7725174409376246,ATM,30,14,39,0,2,0.637,0.0854
ATM/30/21,-1.0,6.397212426280604,0.37761040209770086,-1.8664723968286365,-0.5357700449784961,ATM,30,21,31,0,4,1.7425,0.0854
ATM/45/3,0.06682391571367097,0.4467464035261375,0.3619194298102962,-0.45980376142165,0.1453313811680457,ATM,45,3,47,0,0,0.5988,0.0854
ATM/45/5,0.1580209136149333,0.38804705914459586,0.5679887567237794,-0.35686960734701423,0.442797342115145,ATM,45,5,48,0,0,0.5751,0.0854
ATM/45/7,0.1580209136149333,0.38804705914459586,0.5679887567237794,-0.35686960734701423,0.442797342115145,ATM,45,7,48,0,0,0.5751,0.0854
ATM/45/10,-0.16472251401473958,0.4019135747765048,-0.2541611641545131,-0.6853931393886252,-0.2403328900573371,ATM,45,10,39,0,6,0.5472,0.0854
ATM/45/14,-0.28242095560538183,0.4735065490223659,-0.47267389161679707,-0.804360250338047,-0.3511125213941008,ATM,45,14,37,0,2,0.5861,0.0854
ATM/45/21,-1.0,3.4177659871104833,0.7166193278093481,-1.356374073609659,-0.7372597423207476,ATM,45,21,45,0,0,1.0608,0.0854
ATM/45/30,-1.0,311.9600841892431,0.4615024121724804,-1.6075219626546255,-0.6220754821592749,ATM,45,30,36,0,4,1.5695,0.0854
ATM/60/3,0.13523334709658297,0.4373479491121865,0.5000239285999102,-0.372268140817141,0.36326865575910217,ATM,60,3,33,0,5,0.5348,0.0854
ATM/60/5,0.17680373338682331,0.39365138644426956,0.599871648832406,-0.27434194905616704,0.6444648147871314,ATM,60,5,38,0,9,0.4549,0.0854
