Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
ATM/30/3,0.2503456070250276,0.3933524630373413,0.7520425760959614,-0.3179549853694389,0.78736179190317,ATM,30,3,74,0,0,0.164,0.0854
ATM/30/5,0.08355247969389223,0.44665404434141837,0.38676087917607627,-0.5314023267768104,0.15723017285354185,ATM,30,5,65,0,0,0.1537,0.0854
ATM/30/7,0.08418756394877569,0.4464671711851601,0.38806395372260816,-0.5299352337923438,0.1588638735082951,ATM,30,7,65,0,0,0.1557,0.0854
ATM/30/10,-0.04256856830435385,0.4295316056051695,0.09751826016796895,-0.5323908373594948,-0.07995736462235467,ATM,30,10,50,0,2,0.1608,0.0854
ATM/30/14,-0.5477441872936215,0.8999258507661787,-0.455902547501588,-0.9592884924031997,-0.570990053181414,ATM,30,14,42,0,2,0.1625,0.0854
ATM/30/21,-0.17444162202809377,0.42239480059186313,-0.2489183647402179,-0.6521371464651906,-0.2674922337634466,ATM,30,21,32,0,4,0.4373,0.0854
ATM/45/3,0.2662274036371517,0.40200403613511126,0.7857526522094012,-0.29013601645588705,0.9175951572273328,ATM,45,3,51,0,0,0.1922,0.0854
ATM/45/5,0.21048832244508997,0.38879419255210823,0.682847085575165,-0.30673594539895,0.6862199412961612,ATM,45,5,53,0,0,0.1841,0.0854
ATM/45/7,0.21048832244508997,0.38879419255210823,0.682847085575165,-0.30673594539895,0.6862199412961612,ATM,45,7,53,0,0,0.1841,0.0854
ATM/45/10,-0.04142650727621788,0.38558147794329584,0.07780577825527599,-0.5616424177515695,-0.07375957720939448,ATM,45,10,43,0,6,0.1923,0.0854
ATM/45/14,-0.15129791104996493,0.43489570879766304,-0.16559306290376757,-0.6343228883369845,-0.23851876360101926,ATM,45,14,39,0,2,0.164,0.0854
ATM/45/21,-0.10882202152309783,0.4323091330615911,-0.05470033627524188,-0.6368814465412196,-0.17086699905310362,ATM,45,21,50,0,0,0.2533,0.0854
ATM/45/30,-0.14299421154029268,0.43645953391997666,-0.13804375363306257,-0.566624706851472,-0.2523614127856508,ATM,45,30,37,0,3,0.3961,0.0854
ATM/60/3,0.12814993777583839,0.4638816842307034,0.4906164573639068,-0.4488042451980572,0.28553637615278316,ATM,60,3,44,0,2,0.1894,0.0854
ATM/60/5,0.19102884821779864,0.42483373439748684,0.6225444600995094,-0.46636269610111825,0.4096143405440369,ATM,60,5,46,0,4,0.1484,0.0854
ATM/60/7,0.19102884821779864,0.42483373439748684,0.6225444600995094,-0.46636269610111825,0.4096143405440369,ATM,60,7,46,0,4,0.1484,0.0854
ATM/60/10,0.0632254958768359,0.40877262119677965,0.3522951732866303,-0.42618850228029714,0.1483510126119112,ATM,60,10,42,0,3,0.1785,0.0854
ATM/60/14,-0.10429349215937567,0.45800572476099416,-0.015915891476981855,-0.5699113405285186,-0.18299950315545052,ATM,60,14,36,0,3,0.1617,0.0854
ATM/60/21,-0.20795526507505757,0.6023126341560302,-0.09157199506434717,-0.7477292928297423,-0.27811571255696266,ATM,60,21,40,0,5,0.2199,0.0854
ATM/60/30,0.010523571778417118,0.34538743656206905,0.2031704672643537,-0.35251082402255873,0.029853187650611453,ATM,60,30,34,0,13,0.2815,0.0854
ATM/60/45,-1.0,21.886084209008516,0.6092044610829085,-1.067749153403845,-0.936549560177248,ATM,60,45,25,0,2,0.7216,0.0854
ATM/90/3,0.18492000411771414,0.431044413122775,0.6038948453963887,-0.4030151279340122,0.4588413468885766,ATM,90,3,39,0,2,0.1721,0.0854
ATM/90/5,0.26914765882073777,0.4100535393775097,0.7799185121487273,-0.27880693775071796,0.9653549549092764,ATM,90,5,39,0,5,0.166,0.0854
ATM/90/7,0.26914765882073777,0.4100535393775097,0.7799185121487273,-0.27880693775071796,0.9653549549092764,ATM,90,7,39,0,5,0.166,0.0854
ATM/90/10,0.14161846438814996,0.40112763599910933,0.5264834560690889,-0.27770445800690857,0.5099610766227846,ATM,90,10,34,0,1,0.1608,0.0854
ATM/90/14,0.028242046762346318,0.4658622906259287,0.28724988471923646,-0.45928639705566765,0.06149114570646265,ATM,90,14,33,0,3,0.1492,0.0854
ATM/90/21,0.06834462124650886,0.4722575595706352,0.37045180825410634,-0.4088484834303344,0.1671636902577735,ATM,90,21,32,0,3,0.1775,0.0854
ATM/90/30,-0.11048332940233452,0.4685510227197177,-0.017426733011644484,-0.44948525697708464,-0.24579967348732665,ATM,90,30,29,0,11,0.2007,0.0854
ATM/90/45,-0.5734788175542296,1.2863173241186465,-0.06860934786444253,-0.9745271841689602,-0.5884687742633579,ATM,90,45,19,0,4,0.2415,0.0854
ATM/90/60,-0.209642470301865,0.40986306190277705,-0.37527387631676573,-0.6482796490303682,-0.32338277256647996,ATM,90,60,20,0,16,0.6975,0.0854
ATM/120/3,0.017893009011367367,0.42041248598239506,0.25315915687942314,-0.312731414817495,0.05721525936820079,ATM,120,3,27,0,3,0.1409,0.0854
ATM/120/5,-0.059431840255702806,0.43578557664360135,0.07707810383346067,-0.45720142633361427,-0.12999049616336086,ATM,120,5,27,0,1,0.1484,0.0854
ATM/120/7,-0.059431840255702806,0.43578557664360135,0.07707810383346067,-0.45720142633361427,-0.12999049616336086,ATM,120,7,27,0,1,0.1484,0.0854
ATM/120/10,0.017929263885689606,0.45986519419867883,0.26723095509351624,-0.3158936633875262,0.056757276146101966,ATM,120,10,27,0,1,0.1453,0.0854
ATM/120/14,-0.18124639550545396,0.5951342501518823,-0.04120625795634902,-0.6427010551041163,-0.2820073097220797,ATM,120,14,23,0,0,0.1173,0.0854
ATM/120/21,-0.054374523479290615,0.49771765345962077,0.13519644013135595,-0.3567104014124187,-0.15243324350507034,ATM,120,21,20,0,0,0.1213,0.0854
ATM/120/30,-0.07253947261660898,0.4603842439830973,0.06424575890932827,-0.3739206500198923,-0.19399696864227728,ATM,120,30,21,0,9,0.1433,0.0854
ATM/120/45,-0.10761436763510113,0.43374023384830596,-0.04593440720170175,-0.514953333101793,-0.20897887384647443,ATM,120,45,21,0,3,0.1515,0.0854
ATM/120/60,-0.0927366246253849,0.4548426842946666,0.0166236874545663,-0.5289078691996678,-0.17533606517466263,ATM,120,60,25,0,3,0.2568,0.0854
ATM/150/3,0.027419352102143968,0.509704008335471,0.3023596019827923,-0.4213847696623708,0.06506963249790298,ATM,150,3,25,0,3,0.1942,0.0854
ATM/150/5,-0.020145712323646592,0.4609629252712293,0.18487276322938428,-0.38212232483898767,-0.0527205845199839,ATM,150,5,24,0,1,0.1846,0.0854
ATM/150/7,-0.020145712323646592,0.4609629252712293,0.18487276322938428,-0.38212232483898767,-0.0527205845199839,ATM,150,7,24,0,1,0.1846,0.0854
ATM/150/10,-0.04209964011940892,0.5831948534730758,0.21140509855888506,-0.6045025743472261,-0.06964344223822429,ATM,150,10,22,0,1,0.223,0.0854
ATM/150/14,-0.12669254488394233,0.5511745155205804,0.02904720745300007,-0.46000366712834995,-0.2754163802102748,ATM,150,14,20,0,0,0.1151,0.0854
ATM/150/21,-0.19217178116745648,0.5409110617488341,-0.1274847645478625,-0.5908176150802593,-0.32526413610967064,ATM,150,21,17,0,0,0.1318,0.0854
ATM/150/30,-0.2790415893756084,0.6297689956942183,-0.2091428303809687,-0.7339666546605053,-0.3801829246652609,ATM,150,30,15,0,1,0.1499,0.0854
ATM/150/45,-0.2260281201826846,0.6002537859163933,-0.12719231215647211,-0.724954361889973,-0.31178255082626716,ATM,150,45,17,0,15,0.1425,0.0854
ATM/150/60,-0.020428611864171664,0.41065434013680335,0.15235676329264727,-0.4761674405995079,-0.04290216029565457,ATM,150,60,23,0,2,0.2131,0.0854
ATM/180/3,0.07621406368647277,0.5239062393620384,0.3970379532624807,-0.38212232483898767,0.19944938762367934,ATM,180,3,25,0,3,0.207,0.0854
ATM/180/5,0.018197757756766686,0.4807798850474489,0.27652658982971257,-0.38212232483898767,0.047622859419256786,ATM,180,5,24,0,1,0.1917,0.0854
ATM/180/7,0.018197757756766686,0.4807798850474489,0.27652658982971257,-0.38212232483898767,0.047622859419256786,ATM,180,7,24,0,1,0.1917,0.0854
ATM/180/10,0.008016057758667872,0.4950673998806459,0.2603840179469196,-0.4689562155046334,0.017093403378910268,ATM,180,10,22,0,1,0.2097,0.0854
ATM/180/14,-0.002508878422673444,0.506361644758783,0.2489905548868648,-0.38212232483898767,-0.006565642098327004,ATM,180,14,18,0,1,0.1187,0.0854
ATM/180/21,-0.13407986044100595,0.47320001551761254,-0.06910222897546228,-0.46055473012857095,-0.2911268773715026,ATM,180,21,17,0,0,0.1548,0.0854
ATM/180/30,-0.2658506352508907,0.7606863914689035,-0.03509917970244157,-0.7146332022742059,-0.3720099127844376,ATM,180,30,15,0,1,0.1524,0.0854
ATM/180/45,-0.23632597569958624,0.6068323732364123,-0.14168680536990622,-0.7397588603331899,-0.3194635284167387,ATM,180,45,17,0,15,0.1413,0.0854
ATM/180/60,-0.05619007380054275,0.42685201734104444,0.07493989181415707,-0.529009439677553,-0.10621752578704885,ATM,180,60,23,0,2,0.2094,0.0854
10% OTM/30/3,0.34481902435391465,0.28371727976125277,1.1900985480005564,-0.22409092334689618,1.5387460554130947,10% OTM,30,3,61,0,3,0.1447,0.0854
10% OTM/30/5,0.27631286717583015,0.2768253042901057,1.0223779125294334,-0.3051123012584126,0.9056103802966928,10% OTM,30,5,59,0,5,0.1498,0.0854
10% OTM/30/7,0.27793684487947834,0.276654306913215,1.0274700082986892,-0.3011659504304388,0.9228694162877294,10% OTM,30,7,59,0,5,0.1504,0.0854
10% OTM/30/10,0.17843897270499376,0.27940655504424217,0.7285387176965302,-0.3255405331614474,0.5481313524067352,10% OTM,30,10,50,0,8,0.1389,0.0854
10% OTM/30/14,0.11005802924292385,0.27826810740832847,0.5146111413854622,-0.42853260169758123,0.25682533559160253,10% OTM,30,14,42,0,10,0.148,0.0854
10% OTM/30/21,0.16169159139388944,0.27743577224639904,0.6809658245400214,-0.3040265903277777,0.5318337163192411,10% OTM,30,21,28,0,17,0.2823,0.0854
10% OTM/45/3,0.23977225269345537,0.31794354089276294,0.8363921965353888,-0.28174104083494544,0.8510377188317517,10% OTM,45,3,40,0,6,0.1375,0.0854
10% OTM/45/5,0.2902151761091323,0.2843650605013071,1.0410293601618805,-0.273189946677283,1.062320116969608,10% OTM,45,5,43,0,5,0.1294,0.0854
10% OTM/45/7,0.2902151761091323,0.2843650605013071,1.0410293601618805,-0.273189946677283,1.062320116969608,10% OTM,45,7,43,0,5,0.1294,0.0854
10% OTM/45/10,0.1494324349842029,0.2870394219201989,0.6292970090793063,-0.39049791158315406,0.3826715343454076,10% OTM,45,10,39,0,8,0.1487,0.0854
10% OTM/45/14,0.15875173119309616,0.2848019612467019,0.6608528460898639,-0.36160444476662135,0.43902040887676075,10% OTM,45,14,32,0,12,0.1264,0.0854
10% OTM/45/21,0.13831997898656856,0.29598190719769824,0.5867987250878627,-0.39599381243029674,0.34929833407666133,10% OTM,45,21,39,0,15,0.2024,0.0854
10% OTM/45/30,0.15081235774489032,0.27689590176603046,0.6467625857753811,-0.3083132046863024,0.4891530931940994,10% OTM,45,30,30,0,23,0.3115,0.0854
10% OTM/60/3,0.22496648270225794,0.3408640679387675,0.767210903291187,-0.35882144072918376,0.6269594209451066,10% OTM,60,3,39,0,5,0.1578,0.0854
10% OTM/60/5,0.29986160354684044,0.2992068782526051,1.0288585378906105,-0.23708050979536122,1.2648091730765614,10% OTM,60,5,40,0,9,0.1494,0.0854
10% OTM/60/7,0.29986160354684044,0.2992068782526051,1.0288585378906105,-0.23708050979536122,1.2648091730765614,10% OTM,60,7,40,0,9,0.1494,0.0854
10% OTM/60/10,0.23391411544476415,0.2976080682661362,0.8567630952861546,-0.28077153524372866,0.8331119293902457,10% OTM,60,10,34,0,9,0.1361,0.0854
10% OTM/60/14,0.18597036844039305,0.30087577764988216,0.7183240335946054,-0.30991363292958785,0.6000715963426023,10% OTM,60,14,30,0,13,0.1368,0.0854
10% OTM/60/21,0.09741632648600862,0.32839928751825836,0.4476902568863046,-0.414420150430698,0.23506657768635505,10% OTM,60,21,36,0,19,0.1967,0.0854
10% OTM/60/30,0.08166571153026925,0.3062223284622137,0.40914531877747595,-0.39888070354462557,0.2047371828332446,10% OTM,60,30,34,0,30,0.3459,0.0854
10% OTM/60/45,-0.10298584295110669,0.2790154190234168,-0.2546054619998134,-0.6316149029291992,-0.1630516355353491,10% OTM,60,45,26,0,32,0.6316,0.0854
10% OTM/90/3,0.2740622856148993,0.3415043060971163,0.8799248182698509,-0.35240034287994115,0.7777015293888896,10% OTM,90,3,34,0,5,0.1495,0.0854
10% OTM/90/5,0.35097548753591834,0.326803967387438,1.084142853918162,-0.17909152595241518,1.9597548553423623,10% OTM,90,5,32,0,10,0.1443,0.0854
10% OTM/90/7,0.35097548753591834,0.326803967387438,1.084142853918162,-0.17909152595241518,1.9597548553423623,10% OTM,90,7,32,0,10,0.1443,0.0854
10% OTM/90/10,0.2546443008744317,0.3121402786325064,0.8843061988516235,-0.2214599414849726,1.1498436203267526,10% OTM,90,10,29,0,9,0.129,0.0854
10% OTM/90/14,0.15678546795654968,0.32777812096301145,0.6082794745889938,-0.3080758453545204,0.5089184053885424,10% OTM,90,14,27,0,13,0.1038,0.0854
10% OTM/90/21,0.10327610155303346,0.34343649127148695,0.4579472216480806,-0.2681515317492922,0.38514082272552996,10% OTM,90,21,27,0,18,0.2001,0.0854
10% OTM/90/30,0.14786092903795334,0.32797948018367856,0.5843121890973759,-0.22482140281465957,0.6576817295275412,10% OTM,90,30,26,0,30,0.1985,0.0854
