Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
ATM/30/3,0.28009276858392584,0.38268251538821685,0.8248112632488293,-0.307853616505094,0.9098245190804545,ATM,30,3,76,0,0,0.0,0.0
ATM/30/5,0.1204988385257888,0.430891608767312,0.464163490459629,-0.47368595596618135,0.2543854995236375,ATM,30,5,68,0,0,0.0,0.0
ATM/30/7,0.12148535855802156,0.43066060198530864,0.466246450864681,-0.47128873665858717,0.25777267545018473,ATM,30,7,68,0,0,0.0,0.0
ATM/30/10,0.01206104719845813,0.4120804012042894,0.2200315984397832,-0.45851972520744644,0.02630431481001476,ATM,30,10,52,0,2,0.0,0.0
ATM/30/14,-0.30689274639186304,0.5012206770601735,-0.48632398453521586,-0.7721042839784076,-0.3974757720686931,ATM,30,14,44,0,2,0.0,0.0
ATM/30/21,0.003773965806815882,0.33931875254146543,0.17822781230342952,-0.36603646822699154,0.010310354662463628,ATM,30,21,32,0,4,0.0,0.0
ATM/45/3,0.2830001183012103,0.38339074381102567,0.8398219250666346,-0.271250835274359,1.0433151957484939,ATM,45,3,55,0,0,0.0,0.0
ATM/45/5,0.22778815457623258,0.37003774386409927,0.7373410064328928,-0.27218419267682736,0.8368897265341652,ATM,45,5,57,0,0,0.0,0.0
ATM/45/7,0.22778815457623258,0.37003774386409927,0.7373410064328928,-0.27218419267682736,0.8368897265341652,ATM,45,7,57,0,0,0.0,0.0
ATM/45/10,-0.008710817961169792,0.3656074639057192,0.15402288201137557,-0.520742986124463,-0.016727672178551083,ATM,45,10,47,0,6,0.0,0.0
ATM/45/14,-0.11786917842822042,0.409888043498563,-0.10656866746229123,-0.5945838395610676,-0.19823811308970918,ATM,45,14,43,0,2,0.0,0.0
ATM/45/21,-0.02956923243839904,0.37873618893131883,0.10708424721246682,-0.5128838610915925,-0.057652881444671684,ATM,45,21,52,0,0,0.0,0.0
ATM/45/30,0.011414166666395387,0.3490300759659096,0.20642793831260337,-0.3069994832864168,0.03717975855922363,ATM,45,30,38,0,3,0.0,0.0
ATM/60/3,0.19429504731418845,0.39863911505681615,0.645283134256204,-0.3419972444429866,0.568118750870751,ATM,60,3,42,0,2,0.0,0.0
ATM/60/5,0.24237134400863392,0.36621572032376043,0.7763737942581286,-0.330993144671743,0.7322548756984127,ATM,60,5,44,0,4,0.0,0.0
ATM/60/7,0.24237134400863392,0.36621572032376043,0.7763737942581286,-0.330993144671743,0.7322548756984127,ATM,60,7,44,0,4,0.0,0.0
ATM/60/10,0.11442783582353444,0.3646163308210575,0.47893940764927523,-0.3514211821756532,0.32561450939044195,ATM,60,10,43,0,3,0.0,0.0
ATM/60/14,-0.006190026881471966,0.38822469870905113,0.17592219766539743,-0.44315159425202855,-0.013968192739822534,ATM,60,14,37,0,3,0.0,0.0
ATM/60/21,-0.07697168613816896,0.47292299287298284,0.0631393907137542,-0.5527317380371353,-0.13925685977706173,ATM,60,21,40,0,5,0.0,0.0
ATM/60/30,0.09845360874613118,0.3113749732296047,0.45883235821227997,-0.22846249485357806,0.4309399177717561,ATM,60,30,34,0,13,0.0,0.0
ATM/60/45,-0.05510295090956008,0.3148505085892598,-0.02383373237386712,-0.34058262418015484,-0.1617902588019663,ATM,60,45,25,0,2,0.0,0.0
ATM/90/3,0.19644164763170147,0.4230069876196104,0.6311532869850621,-0.37850790066749607,0.5189895568501423,ATM,90,3,38,0,2,0.0,0.0
ATM/90/5,0.28905554740325434,0.40615367288029863,0.8230299793471132,-0.232874885791574,1.2412482626484795,ATM,90,5,40,0,5,0.0,0.0
ATM/90/7,0.28905554740325434,0.40615367288029863,0.8230299793471132,-0.232874885791574,1.2412482626484795,ATM,90,7,40,0,5,0.0,0.0
ATM/90/10,0.16664980961647768,0.3907370508528115,0.5871537898539062,-0.232874885791574,0.7156195012184843,ATM,90,10,35,0,1,0.0,0.0
ATM/90/14,0.05461698872001186,0.4451272853849387,0.3382527144068902,-0.4352668768289576,0.12547931310076266,ATM,90,14,34,0,3,0.0,0.0
ATM/90/21,0.10445939216350486,0.43307278634869095,0.44233552511095897,-0.3260008341418953,0.320426763442077,ATM,90,21,34,0,3,0.0,0.0
ATM/90/30,-0.041184078845347694,0.4244455262861186,0.11218948590182339,-0.3813540597786945,-0.10799433699289168,ATM,90,30,30,0,11,0.0,0.0
ATM/90/45,-0.23877618656112842,0.4894244064844336,-0.31713569615843945,-0.6746229025368894,-0.3539402318883945,ATM,90,45,20,0,4,0.0,0.0
ATM/90/60,0.05866175712302879,0.27525779923202603,0.34332121776184205,-0.23144141137841245,0.25346266588011496,ATM,90,60,20,0,16,0.0,0.0
ATM/120/3,0.1096069077739068,0.4069627059300191,0.45771394697426093,-0.3247977487682213,0.33746203041611383,ATM,120,3,27,0,3,0.0,0.0
ATM/120/5,0.04181880780347624,0.422672195986726,0.306081247670077,-0.3247977487682213,0.12875337948637855,ATM,120,5,27,0,4,0.0,0.0
ATM/120/7,0.04181880780347624,0.422672195986726,0.306081247670077,-0.3247977487682213,0.12875337948637855,ATM,120,7,27,0,4,0.0,0.0
ATM/120/10,0.06174371248932631,0.43612890793975534,0.3524158361183405,-0.32400111741302007,0.19056635662962415,ATM,120,10,26,0,1,0.0,0.0
ATM/120/14,-0.0423906381853999,0.4755069062843479,0.14347908712008495,-0.4498176682819285,-0.09423960234223408,ATM,120,14,25,0,4,0.0,0.0
ATM/120/21,0.04364925635088701,0.3963545703592241,0.30653581750249037,-0.3078630157342277,0.14178142264600105,ATM,120,21,23,0,3,0.0,0.0
ATM/120/30,-0.05754001665038044,0.44844003517734166,0.09007287593067527,-0.3405779563183402,-0.168948152935058,ATM,120,30,19,0,9,0.0,0.0
ATM/120/45,-0.12180262486201665,0.40472816468154577,-0.1193321736150618,-0.5135538021234407,-0.2371759771973015,ATM,120,45,22,0,2,0.0,0.0
ATM/120/60,0.013820878075967213,0.3756694864437015,0.22802242359992614,-0.37752112920703873,0.036609548464206935,ATM,120,60,25,0,3,0.0,0.0
ATM/150/3,0.09647500325928982,0.45690252955020294,0.4256713087634615,-0.31222782910845714,0.30898912353446156,ATM,150,3,25,0,3,0.0,0.0
ATM/150/5,0.05525162914276405,0.41518132647454986,0.336735372793658,-0.31222782910845714,0.1769593354331383,ATM,150,5,24,0,1,0.0,0.0
ATM/150/7,0.05525162914276405,0.41518132647454986,0.336735372793658,-0.31222782910845714,0.1769593354331383,ATM,150,7,24,0,1,0.0,0.0
ATM/150/10,0.04868645444138453,0.4720961352536123,0.3339706788091889,-0.4274697807581479,0.11389449414420748,ATM,150,10,24,0,1,0.0,0.0
ATM/150/14,-0.05381392409403585,0.48269186879924075,0.12670316290901182,-0.3457412702532807,-0.15564796199948366,ATM,150,14,20,0,0,0.0,0.0
ATM/150/21,-0.09258877009424205,0.4583203951945362,0.015150568155034527,-0.38334132728813297,-0.2415308851493829,ATM,150,21,17,0,0,0.0,0.0
ATM/150/30,-0.15414896819846513,0.504387284619731,-0.08261552047747232,-0.5371285533768577,-0.28698710435211555,ATM,150,30,15,0,1,0.0,0.0
ATM/150/45,-0.12151259791045466,0.4967466690176701,-0.012012596111396873,-0.5559394487413172,-0.21857164154399733,ATM,150,45,17,0,15,0.0,0.0
ATM/150/60,0.05832654142765925,0.36050920170280476,0.3366368437513111,-0.36475335302827727,0.1599067998783757,ATM,150,60,23,0,2,0.0,0.0
ATM/180/3,0.10129114590276367,0.4607607633278548,0.4355097319410483,-0.31222782910845714,0.3244142144279478,ATM,180,3,25,0,3,0.0,0.0
ATM/180/5,0.06542832244026053,0.4169970828553945,0.36009261998982545,-0.31222782910845714,0.20955314145790957,ATM,180,5,24,0,1,0.0,0.0
ATM/180/7,0.06542832244026053,0.4169970828553945,0.36009261998982545,-0.31222782910845714,0.20955314145790957,ATM,180,7,24,0,1,0.0,0.0
ATM/180/10,0.09238155614745724,0.4149559430290164,0.4197617534855197,-0.31222782910845714,0.29587867427207165,ATM,180,10,24,0,1,0.0,0.0
ATM/180/14,-0.02721482692206978,0.44799750021339296,0.1626848200767062,-0.32736011650101304,-0.08313421687698343,ATM,180,14,20,0,0,0.0,0.0
ATM/180/21,-0.04983314049921406,0.40656227921390503,0.0769118449502042,-0.3555124709643579,-0.1401726931379859,ATM,180,21,17,0,0,0.0,0.0
ATM/180/30,-0.1445605978466824,0.6056105138917365,0.039732366061856206,-0.5153704708633252,-0.280498410404696,ATM,180,30,15,0,1,0.0,0.0
ATM/180/45,-0.12914642855749303,0.499443646548126,-0.02696056851411375,-0.5706085217084187,-0.22633105473227919,ATM,180,45,17,0,15,0.0,0.0
ATM/180/60,0.029059156056629787,0.37139853426170166,0.26160477251763953,-0.4091501272457101,0.07102321158311327,ATM,180,60,23,0,2,0.0,0.0
10% OTM/30/3,0.3780227417242277,0.27475835431184725,1.3094199615051767,-0.1999366357031105,1.8907127270339812,10% OTM,30,3,66,0,3,0.0,0.0
10% OTM/30/5,0.3031025459084393,0.2710030136950183,1.1157231881331944,-0.26884863782525525,1.127409639714999,10% OTM,30,5,62,0,5,0.0,0.0
10% OTM/30/7,0.30470166163916645,0.2708522332389715,1.1207556760953787,-0.2648709314765969,1.1503778838263679,10% OTM,30,7,62,0,5,0.0,0.0
10% OTM/30/10,0.20902980724416942,0.2724444677441108,0.8348563843984367,-0.2825277723647245,0.7398557865466263,10% OTM,30,10,52,0,8,0.0,0.0
10% OTM/30/14,0.14687443802809041,0.27038918365883047,0.6430975048224509,-0.3765201746638268,0.3900838465275497,10% OTM,30,14,44,0,10,0.0,0.0
10% OTM/30/21,0.21961188776511076,0.26722090102271406,0.8797733552962093,-0.21101959708754092,1.0407179749945468,10% OTM,30,21,30,0,17,0.0,0.0
10% OTM/45/3,0.2713911869465948,0.3050062924439851,0.9419858096609179,-0.2384350418311859,1.1382185473339197,10% OTM,45,3,48,0,3,0.0,0.0
10% OTM/45/5,0.3101039647039452,0.2779825571080646,1.113992569555457,-0.24314749853209028,1.2753738639142038,10% OTM,45,5,45,0,5,0.0,0.0
10% OTM/45/7,0.3101039647039452,0.2779825571080646,1.113992569555457,-0.24314749853209028,1.2753738639142038,10% OTM,45,7,45,0,5,0.0,0.0
10% OTM/45/10,0.16819883279896897,0.2802378821953029,0.6958939685782962,-0.36636305584598916,0.4591042413121371,10% OTM,45,10,43,0,8,0.0,0.0
10% OTM/45/14,0.1621898034780136,0.28013130620758386,0.6778340500115391,-0.35853738782662536,0.4523651060804912,10% OTM,45,14,36,0,12,0.0,0.0
10% OTM/45/21,0.16354961401517,0.2918202083761747,0.6665012015242112,-0.3431751689600364,0.4765776454945542,10% OTM,45,21,42,0,15,0.0,0.0
10% OTM/45/30,0.2046753508062471,0.26643915382969996,0.8343388453950289,-0.2162092837369054,0.9466538497731977,10% OTM,45,30,32,0,23,0.0,0.0
10% OTM/60/3,0.26024800614397203,0.3265681479033578,0.8737733374018836,-0.30205633474681415,0.86158764510638,10% OTM,60,3,39,0,5,0.0,0.0
10% OTM/60/5,0.32839301235142226,0.29103740163790404,1.1247306516504818,-0.21121711015524458,1.5547651992305613,10% OTM,60,5,40,0,9,0.0,0.0
10% OTM/60/7,0.32839301235142226,0.29103740163790404,1.1247306516504818,-0.21121711015524458,1.5547651992305613,10% OTM,60,7,40,0,9,0.0,0.0
10% OTM/60/10,0.26503202013661653,0.28911592442214257,0.9601785283322343,-0.23637431124627573,1.1212386774994456,10% OTM,60,10,34,0,9,0.0,0.0
10% OTM/60/14,0.21901419320153992,0.290751726330142,0.8283205125414488,-0.27030260691525654,0.8102555713426907,10% OTM,60,14,30,0,13,0.0,0.0
10% OTM/60/21,0.13565317293426382,0.31181141266362195,0.5650217193291468,-0.3508756073459377,0.3866132899928826,10% OTM,60,21,37,0,19,0.0,0.0
10% OTM/60/30,0.1647079903207247,0.28486187209915803,0.6789779751616035,-0.26654265987977244,0.6179423226098907,10% OTM,60,30,34,0,30,0.0,0.0
10% OTM/60/45,0.08129928126150787,0.248424902821648,0.43832591733625464,-0.3660689142200807,0.2220873668957062,10% OTM,60,45,27,0,32,0.0,0.0
10% OTM/90/3,0.289748312765717,0.3310916426920482,0.9344349502645676,-0.32296265918781975,0.897157316868676,10% OTM,90,3,32,0,5,0.0,0.0
10% OTM/90/5,0.3695761827284365,0.3190759964034304,1.1459162793105415,-0.16556133725155542,2.232261401506434,10% OTM,90,5,33,0,10,0.0,0.0
10% OTM/90/7,0.3695761827284365,0.3190759964034304,1.1459162793105415,-0.16556133725155542,2.232261401506434,10% OTM,90,7,33,0,10,0.0,0.0
10% OTM/90/10,0.28330279228937383,0.30205102839477893,0.9790844979740695,-0.1820894981100286,1.5558436660536377,10% OTM,90,10,29,0,9,0.0,0.0
10% OTM/90/14,0.18646570115983363,0.31527936750140473,0.7007304001464103,-0.270119231585219,0.6903088686634524,10% OTM,90,14,27,0,13,0.0,0.0
10% OTM/90/21,0.15829881950530078,0.32066125525735834,0.619667968890468,-0.23202683072329344,0.6822435966212979,10% OTM,90,21,27,0,18,0.0,0.0
10% OTM/90/30,0.19678140496568575,0.308860879731469,0.7370700582077587,-0.19746344434004026,0.9965459967710276,10% OTM,90,30,26,0,30,0.0,0.0
10% OTM/90/45,0.0655892230057682,0.28631981371289356,0.3648163214705552,-0.35239504754915385,0.1861241338717153,10% OTM,90,45,18,0,32,0.0,0.0
10% OTM/90/60,0.15888266779766225,0.2573275898091963,0.7031419395969228,-0.16556133725155542,0.9596604523449485,10% OTM,90,60,15,0,43,0.0,0.0
10% OTM/120/3,0.1563950903738156,0.30059184749056383,0.6344132249736184,-0.23490796390943836,0.6657717676788045,10% OTM,120,3,23,0,5,0.0,0.0
10% OTM/120/5,0.3387211673689545,0.3604325515034612,0.9876263044735598,-0.17183226969271592,1.9712314105766195,10% OTM,120,5,24,0,6,0.0,0.0
10% OTM/120/7,0.3387211673689545,0.3604325515034612,0.9876263044735598,-0.17183226969271592,1.9712314105766195,10% OTM,120,7,24,0,6,0.0,0.0
10% OTM/120/10,0.11088242798358605,0.3127999225401044,0.4929070435208659,-0.2573248427709339,0.4309044816255524,10% OTM,120,10,20,0,8,0.0,0.0
10% OTM/120/14,0.07811466553683055,0.30464556825478467,0.3989506774220958,-0.30471052265717324,0.25635696744452957,10% OTM,120,14,19,0,12,0.0,0.0
10% OTM/120/21,0.13853038663744432,0.31324789602680897,0.5716975287162965,-0.2437667350431214,0.5682907744280155,10% OTM,120,21,20,0,17,0.0,0.0
10% OTM/120/30,0.16036912237085743,0.3350033809542133,0.6115911546819226,-0.25285325489396193,0.6342379196902599,10% OTM,120,30,17,0,30,0.0,0.0
10% OTM/120/45,0.1324668290838953,0.31886703596418536,0.5511309510054586,-0.32327875388766736,0.4097603925122922,10% OTM,120,45,17,0,33,0.0,0.0
10% OTM/120/60,0.19677253130447148,0.2906835843489205,0.7655453658175734,-0.17814026952432616,1.1045932052864722,10% OTM,120,60,19,0,44,0.0,0.0
10% OTM/150/3,0.20789711694508406,0.30189279458484114,0.7784869298277635,-0.16556133725155542,1.255710544480583,10% OTM,150,3,18,0,6,0.0,0.0
10% OTM/150/5,0.35342655090974384,0.352324725844491,1.0336943729648551,-0.17148006360627377,2.061035804845674,10% OTM,150,5,19,0,7,0.0,0.0
10% OTM/150/7,0.35342655090974384,0.352324725844491,1.0336943729648551,-0.17148006360627377,2.061035804845674,10% OTM,150,7,19,0,7,0.0,0.0
